dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.452452,5.256607,0.000213,0.021333,1.066667,53.333333,0.017855
0.020000,0.452452,5.256607,0.001067,0.064000,2.133333,53.333333,0.017930
0.020000,0.453445,5.256625,0.002773,0.106667,2.133333,0.000000,0.018080
0.020000,0.456004,5.256671,0.005333,0.149333,2.133333,0.000000,0.018305
0.020000,0.459417,5.256734,0.008747,0.192000,2.133333,-0.000000,0.018604
0.020000,0.463683,5.256815,0.013013,0.234667,2.133333,0.000000,0.018978
0.020000,0.468802,5.256913,0.018133,0.277333,2.133333,0.000000,0.019426
0.020000,0.474774,5.257031,0.024107,0.320000,2.133333,0.000000,0.019948
0.020000,0.481600,5.257169,0.030933,0.362667,2.133333,-0.000000,0.020544
0.020000,0.489278,5.257329,0.038613,0.405333,2.133333,0.000000,0.021213
0.020000,0.497809,5.257513,0.047147,0.448000,2.133333,0.000000,0.021955
0.020000,0.507194,5.257723,0.056533,0.490667,2.133333,-0.000000,0.022769
0.020000,0.517431,5.257961,0.066773,0.533333,2.133333,0.000000,0.023655
0.020000,0.528521,5.258229,0.077867,0.576000,2.133333,-0.000000,0.024613
0.020000,0.540464,5.258529,0.089813,0.618667,2.133333,0.000000,0.025641
0.020000,0.553259,5.258864,0.102613,0.661333,2.133333,-0.000000,0.026740
0.020000,0.566908,5.259237,0.116267,0.704000,2.133333,0.000000,0.027908
0.020000,0.581408,5.259651,0.130773,0.746667,2.133333,-0.000000,0.029144
0.020000,0.596762,5.260108,0.146133,0.789333,2.133333,0.000000,0.030449
0.020000,0.612967,5.260613,0.162347,0.832000,2.133333,-0.000000,0.031820
0.020000,0.630025,5.261168,0.179413,0.874667,2.133333,0.000000,0.033258
0.020000,0.647934,5.261778,0.197333,0.917333,2.133333,0.000000,0.034761
0.020000,0.666696,5.262445,0.216107,0.960000,2.133333,-0.000000,0.036328
0.020000,0.686309,5.263174,0.235733,1.002667,2.133333,0.000000,0.037958
0.020000,0.706773,5.263968,0.256213,1.045333,2.133333,-0.000000,0.039651
0.020000,0.728089,5.264832,0.277547,1.088000,2.133333,0.000000,0.041404
0.020000,0.750256,5.265771,0.299733,1.130667,2.133333,0.000000,0.043217
0.020000,0.773274,5.266788,0.322773,1.173333,2.133333,0.000000,0.045088
0.020000,0.797142,5.267888,0.346667,1.216000,2.133333,0.000000,0.047017
0.020000,0.821860,5.269076,0.371413,1.258667,2.133333,-0.000000,0.049001
0.020000,0.847428,5.270356,0.397013,1.301333,2.133333,0.000000,0.051040
0.020000,0.873845,5.271733,0.423467,1.344000,2.133333,-0.000000,0.053132
0.020000,0.901112,5.273212,0.450773,1.386667,2.133333,0.000000,0.055275
0.020000,0.929227,5.274799,0.478933,1.429333,2.133333,0.000000,0.057468
0.020000,0.958191,5.276498,0.507947,1.472000,2.133333,0.000000,0.059709
0.020000,0.988002,5.278314,0.537813,1.514667,2.133333,-0.000000,0.061997
0.020000,1.018661,5.280253,0.568533,1.557333,2.133333,0.000000,0.064330
0.020000,1.050166,5.282321,0.600107,1.600000,2.133333,0.000000,0.066705
0.020000,1.082518,5.284521,0.632533,1.642667,2.133333,0.000000,0.069122
0.020000,1.115716,5.286860,0.665813,1.685333,2.133333,0.000000,0.071578
0.020000,1.149759,5.289344,0.699947,1.728000,2.133333,0.000000,0.074071
0.020000,1.184646,5.291977,0.734933,1.770667,2.133333,-0.000000,0.076600
0.020000,1.220377,5.294766,0.770773,1.813333,2.133333,0.000000,0.079162
0.020000,1.256952,5.297715,0.807467,1.856000,2.133333,-0.000000,0.081755
0.020000,1.294369,5.300830,0.845013,1.898667,2.133333,0.000000,0.084377
0.020000,1.332628,5.304117,0.883413,1.941333,2.133333,-0.000000,0.087026
0.020000,1.371728,5.307582,0.922667,1.984000,2.133333,-0.000000,0.089699
0.020000,1.411669,5.311228,0.962773,2.026667,2.133333,0.000000,0.092395
0.020000,1.452449,5.315063,1.003733,2.069333,2.133333,-0.000000,0.095110
0.020000,1.494068,5.319091,1.045547,2.112000,2.133333,0.000000,0.097843
0.020000,1.536525,5.323317,1.088213,2.154667,2.133333,0.000000,0.100590
0.020000,1.579819,5.327747,1.131733,2.197333,2.133333,-0.000000,0.103350
0.020000,1.623949,5.332386,1.176107,2.240000,2.133333,0.000000,0.106120
0.020000,1.668914,5.337240,1.221333,2.282667,2.133333,0.000000,0.108897
0.020000,1.714714,5.342311,1.267413,2.325333,2.133333,-0.000000,0.111678
0.020000,1.761348,5.347607,1.314347,2.368000,2.133333,0.000000,0.114462
0.020000,1.808814,5.353131,1.362133,2.410667,2.133333,0.000000,0.117244
0.020000,1.857112,5.358888,1.410773,2.453333,2.133333,0.000000,0.120022
0.020000,1.906241,5.364883,1.460267,2.496000,2.133333,0.000000,0.122794
0.020000,1.956200,5.371119,1.510613,2.538667,2.133333,-0.000000,0.125557
0.020000,2.006988,5.377600,1.561813,2.581333,2.133333,0.000000,0.128307
0.020000,2.058605,5.384332,1.613867,2.624000,2.133333,0.000000,0.131041
0.020000,2.111048,5.391316,1.666773,2.666667,2.133333,0.000000,0.133757
0.020000,2.164318,5.398558,1.720533,2.709333,2.133333,-0.000000,0.136452
0.020000,2.218414,5.406059,1.775147,2.752000,2.133333,0.000000,0.139122
0.020000,2.271427,5.413642,1.830613,2.794667,2.133333,-0.000000,0.145244
0.020000,2.327127,5.421975,1.886933,2.837333,2.133333,0.000000,0.151697
0.020000,2.383616,5.430793,1.944107,2.880000,2.133333,0.000000,0.157958
0.020000,2.440892,5.440095,2.002133,2.922667,2.133333,-0.000000,0.164011
0.020000,2.498953,5.449880,2.061013,2.965333,2.133333,0.000000,0.169844
0.020000,2.557798,5.460143,2.120747,3.008000,2.133333,-0.000000,0.175439
0.020000,2.617426,5.470879,2.181333,3.050667,2.133333,0.000000,0.180784
0.020000,2.677836,5.482081,2.242773,3.093333,2.133333,0.000000,0.185861
0.020000,2.739029,5.493741,2.305067,3.136000,2.133333,-0.000000,0.190658
0.020000,2.801004,5.505849,2.368213,3.178667,2.133333,0.000000,0.195158
0.020000,2.863553,5.518351,2.432000,3.200000,1.066667,-53.333333,0.199332
0.020000,2.926261,5.531145,2.496000,3.200000,0.000000,-53.333333,0.203146
0.020000,2.988922,5.544167,2.560000,3.200000,0.000000,0.000000,0.206585
0.020000,3.051541,5.557392,2.624000,3.200000,0.000000,0.000000,0.209648
0.020000,3.114121,5.570798,2.688000,3.200000,0.000000,0.000000,0.212336
0.020000,3.176668,5.584360,2.752000,3.200000,0.000000,0.000000,0.214648
0.020000,3.239185,5.598055,2.816000,3.200000,0.000000,0.000000,0.216584
0.020000,3.301679,5.611859,2.880000,3.200000,0.000000,0.000000,0.218146
0.020000,3.364153,5.625748,2.944000,3.200000,0.000000,0.000000,0.219332
