dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.117392,0.635557,0.000213,0.021333,1.066667,53.333333,0.025749
0.020000,0.117392,0.635557,0.001067,0.064000,2.133333,53.333333,0.026015
0.020000,0.117392,0.635557,0.002773,0.106667,2.133333,0.000000,0.026549
0.020000,0.118442,0.635586,0.005333,0.149333,2.133333,0.000000,0.027348
0.020000,0.121853,0.635681,0.008747,0.192000,2.133333,-0.000000,0.028413
0.020000,0.126118,0.635805,0.013013,0.234667,2.133333,0.000000,0.029743
0.020000,0.131236,0.635962,0.018133,0.277333,2.133333,0.000000,0.031336
0.020000,0.137206,0.636154,0.024107,0.320000,2.133333,0.000000,0.033192
0.020000,0.144029,0.636388,0.030933,0.362667,2.133333,-0.000000,0.035309
0.020000,0.151704,0.636668,0.038613,0.405333,2.133333,0.000000,0.037686
0.020000,0.160231,0.637001,0.047147,0.448000,2.133333,0.000000,0.040320
0.020000,0.169609,0.637393,0.056533,0.490667,2.133333,-0.000000,0.043209
0.020000,0.179839,0.637851,0.066773,0.533333,2.133333,0.000000,0.046350
0.020000,0.190919,0.638384,0.077867,0.576000,2.133333,-0.000000,0.049742
0.020000,0.202850,0.639000,0.089813,0.618667,2.133333,0.000000,0.053381
0.020000,0.215630,0.639708,0.102613,0.661333,2.133333,-0.000000,0.057262
0.020000,0.229260,0.640517,0.116267,0.704000,2.133333,0.000000,0.061384
0.020000,0.243737,0.641439,0.130773,0.746667,2.133333,-0.000000,0.065741
0.020000,0.259062,0.642483,0.146133,0.789333,2.133333,0.000000,0.070329
0.020000,0.275232,0.643661,0.162347,0.832000,2.133333,-0.000000,0.075143
0.020000,0.292247,0.644985,0.179413,0.874667,2.133333,0.000000,0.080178
0.020000,0.310106,0.646467,0.197333,0.917333,2.133333,0.000000,0.085428
0.020000,0.328806,0.648120,0.216107,0.960000,2.133333,-0.000000,0.090887
0.020000,0.348347,0.649957,0.235733,1.002667,2.133333,0.000000,0.096547
0.020000,0.368725,0.651991,0.256213,1.045333,2.133333,-0.000000,0.102403
0.020000,0.389940,0.654236,0.277547,1.088000,2.133333,0.000000,0.108445
0.020000,0.411989,0.656706,0.299733,1.130667,2.133333,0.000000,0.114667
0.020000,0.434869,0.659416,0.322773,1.173333,2.133333,0.000000,0.121058
0.020000,0.458578,0.662379,0.346667,1.216000,2.133333,0.000000,0.127611
0.020000,0.483113,0.665611,0.371413,1.258667,2.133333,-0.000000,0.134314
0.020000,0.508470,0.669126,0.397013,1.301333,2.133333,0.000000,0.141158
0.020000,0.534647,0.672939,0.423467,1.344000,2.133333,-0.000000,0.148132
0.020000,0.561640,0.677065,0.450773,1.386667,2.133333,0.000000,0.155224
0.020000,0.589446,0.681519,0.478933,1.429333,2.133333,0.000000,0.162422
0.020000,0.618060,0.686315,0.507947,1.472000,2.133333,0.000000,0.169714
0.020000,0.647478,0.691469,0.537813,1.514667,2.133333,-0.000000,0.177086
0.020000,0.677697,0.696993,0.568533,1.557333,2.133333,0.000000,0.184526
0.020000,0.708713,0.702903,0.600107,1.600000,2.133333,0.000000,0.192018
0.020000,0.740520,0.709211,0.632533,1.642667,2.133333,0.000000,0.199549
0.020000,0.773114,0.715932,0.665813,1.685333,2.133333,0.000000,0.207103
0.020000,0.806491,0.723078,0.699947,1.728000,2.133333,0.000000,0.214665
0.020000,0.840646,0.730660,0.734933,1.770667,2.133333,-0.000000,0.222219
0.020000,0.875574,0.738691,0.770773,1.813333,2.133333,0.000000,0.229749
0.020000,0.911272,0.747182,0.807467,1.856000,2.133333,-0.000000,0.237239
0.020000,0.947733,0.756142,0.845013,1.898667,2.133333,0.000000,0.244671
